NUTS,YEAR,ELC,LEVEL,geometry,AREA,POPULATION,GDP_cap,COMP_emp,CDD,HDD,ELC_cap,POP_density
CH01,2023,11943.58623160258,2,"MULTIPOLYGON (((4079764.6887 2605253.0478000008, 4090584.037900001 2598382.5710000005, 4108954.1669999994 2608441.9614000004, 4106862.7985999994 2583561.7611, 4146841.8828999996 2593417.5044, 4170592.415100001 2606414.9025, 4188410.3029999994 2604678.5098, 4199212.2552000005 2616819.7974999994, 4204089.6293 2602786.3847000003, 4196776.6841 2594561.0877, 4175088.6151 2574119.4546000008, 4176935.7809999995 2561873.9839999992, 4156152.8649000004 2537251.1045999993, 4155107.7885999996 2536147.715, 4133419.8268999998 2542543.9901, 4099749.681500001 2531989.5944999997, 4091539.9584999997 2538951.4132000003, 4074932.2623999994 2565753.8264000006, 4076472.880999999 2595665.6992000006, 4052007.3910000008 2599217.4836999997, 4029619.3168 2585045.5176999997, 4030112.0298999995 2572259.6481, 4008290.6635999996 2566176.7631, 4022416.092599999 2586011.9647000004, 4024036.8116999995 2591969.0944999997, 4018233.3856000006 2597241.8249999993, 4024713.6202000007 2612631.9044000003, 4046573.5471 2633336.8390999995, 4050888.773 2644010.056500001, 4069548.5908000004 2650732.082800001, 4075295.0209999997 2643018.6656, 4075355.5934999995 2636340.2106999997, 4084590.3587999996 2628332.5416, 4076094.6384999994 2617922.4931000005, 4079764.6887 2605253.0478000008)), ((4098190.576300001 2648033.2292, 4095940.9218000006 2645264.1196999997, 4087016.4858999997 2653698.710999999, 4092823.8720999993 2657190.8976000007, 4095661.2630000003 2656316.1258000005, 4096552.964299999 2655973.0746, 4098190.576300001 2648033.2292)), ((4093613.8738 2639378.4394000005, 4087956.6174999997 2634925.495100001, 4082695.399 2639296.5198, 4087839.4477999993 2647463.4977, 4093613.8738 2639378.4394000005)))",8732.53760904923,1701827.0,79.9,86.84552000000001,31.52,3538.04,7.0180965700994165,194.88344352922738
CH02,2021,13196.16494997296,2,"POLYGON ((4104716.988399999 2714128.7832999993, 4111415.3851999994 2705785.8334, 4123319.4144 2705527.9356999993, 4133383.940300001 2713039.7738000005, 4134018.7751 2709027.9365, 4129422.2624999993 2705579.6568, 4130269.5649999995 2701877.2895, 4137955.424900001 2703657.3279999997, 4145378.3774999995 2710921.3691000007, 4147238.1818000004 2708256.9493000004, 4143090.851500001 2702237.069, 4143127.0634000003 2699138.1410000008, 4152167.5457000006 2694859.0285, 4165382.6954999994 2702151.7511, 4166845.5775000006 2706748.1163999997, 4170099.6153999995 2696112.8220000006, 4156280.5911 2685979.4967, 4157239.2227999996 2682481.107999999, 4163692.5250000004 2656542.892999999, 4159487.7741 2640234.2612999994, 4171915.7764 2632467.2206999995, 4202414.681399999 2629137.7764999997, 4199212.2552000005 2616819.7974999994, 4188410.3029999994 2604678.5098, 4170592.415100001 2606414.9025, 4146841.8828999996 2593417.5044, 4106862.7985999994 2583561.7611, 4108954.1669999994 2608441.9614000004, 4090584.037900001 2598382.5710000005, 4079764.6887 2605253.0478000008, 4076094.6384999994 2617922.4931000005, 4084590.3587999996 2628332.5416, 4075355.5934999995 2636340.2106999997, 4075295.0209999997 2643018.6656, 4069548.5908000004 2650732.082800001, 4050888.773 2644010.056500001, 4051584.482999999 2653202.8627000004, 4082730.7678999994 2677464.1921999995, 4095928.0726999994 2695439.0349000003, 4089614.7380999997 2700541.7173999995, 4090009.1479 2707007.728700001, 4104716.988399999 2714128.7832999993), (4125815.6556 2699903.363399999, 4127350.2894 2699614.2980000004, 4126129.8762 2702865.5140000004, 4122858.4009000007 2703563.5408999994, 4125815.6556 2699903.363399999), (4087016.4858999997 2653698.710999999, 4095940.9218000006 2645264.1196999997, 4098190.576300001 2648033.2292, 4096552.964299999 2655973.0746, 4095661.2630000003 2656316.1258000005, 4092823.8720999993 2657190.8976000007, 4087016.4858999997 2653698.710999999), (4093613.8738 2639378.4394000005, 4087839.4477999993 2647463.4977, 4082695.399 2639296.5198, 4087956.6174999997 2634925.495100001, 4093613.8738 2639378.4394000005))",10130.254258871562,1895693.0,73.6,85.36194,3.26,3533.44,6.961129755700401,187.13182824013015
CH02,2022,12760.49031571801,2,"POLYGON ((4104716.988399999 2714128.7832999993, 4111415.3851999994 2705785.8334, 4123319.4144 2705527.9356999993, 4133383.940300001 2713039.7738000005, 4134018.7751 2709027.9365, 4129422.2624999993 2705579.6568, 4130269.5649999995 2701877.2895, 4137955.424900001 2703657.3279999997, 4145378.3774999995 2710921.3691000007, 4147238.1818000004 2708256.9493000004, 4143090.851500001 2702237.069, 4143127.0634000003 2699138.1410000008, 4152167.5457000006 2694859.0285, 4165382.6954999994 2702151.7511, 4166845.5775000006 2706748.1163999997, 4170099.6153999995 2696112.8220000006, 4156280.5911 2685979.4967, 4157239.2227999996 2682481.107999999, 4163692.5250000004 2656542.892999999, 4159487.7741 2640234.2612999994, 4171915.7764 2632467.2206999995, 4202414.681399999 2629137.7764999997, 4199212.2552000005 2616819.7974999994, 4188410.3029999994 2604678.5098, 4170592.415100001 2606414.9025, 4146841.8828999996 2593417.5044, 4106862.7985999994 2583561.7611, 4108954.1669999994 2608441.9614000004, 4090584.037900001 2598382.5710000005, 4079764.6887 2605253.0478000008, 4076094.6384999994 2617922.4931000005, 4084590.3587999996 2628332.5416, 4075355.5934999995 2636340.2106999997, 4075295.0209999997 2643018.6656, 4069548.5908000004 2650732.082800001, 4050888.773 2644010.056500001, 4051584.482999999 2653202.8627000004, 4082730.7678999994 2677464.1921999995, 4095928.0726999994 2695439.0349000003, 4089614.7380999997 2700541.7173999995, 4090009.1479 2707007.728700001, 4104716.988399999 2714128.7832999993), (4125815.6556 2699903.363399999, 4127350.2894 2699614.2980000004, 4126129.8762 2702865.5140000004, 4122858.4009000007 2703563.5408999994, 4125815.6556 2699903.363399999), (4087016.4858999997 2653698.710999999, 4095940.9218000006 2645264.1196999997, 4098190.576300001 2648033.2292, 4096552.964299999 2655973.0746, 4095661.2630000003 2656316.1258000005, 4092823.8720999993 2657190.8976000007, 4087016.4858999997 2653698.710999999), (4093613.8738 2639378.4394000005, 4087839.4477999993 2647463.4977, 4082695.399 2639296.5198, 4087956.6174999997 2634925.495100001, 4093613.8738 2639378.4394000005))",10130.254258871562,1907491.0,75.3,86.47728,27.02,3002.88,6.689672620063744,188.2964584358301
CH02,2023,12413.44434557901,2,"POLYGON ((4104716.988399999 2714128.7832999993, 4111415.3851999994 2705785.8334, 4123319.4144 2705527.9356999993, 4133383.940300001 2713039.7738000005, 4134018.7751 2709027.9365, 4129422.2624999993 2705579.6568, 4130269.5649999995 2701877.2895, 4137955.424900001 2703657.3279999997, 4145378.3774999995 2710921.3691000007, 4147238.1818000004 2708256.9493000004, 4143090.851500001 2702237.069, 4143127.0634000003 2699138.1410000008, 4152167.5457000006 2694859.0285, 4165382.6954999994 2702151.7511, 4166845.5775000006 2706748.1163999997, 4170099.6153999995 2696112.8220000006, 4156280.5911 2685979.4967, 4157239.2227999996 2682481.107999999, 4163692.5250000004 2656542.892999999, 4159487.7741 2640234.2612999994, 4171915.7764 2632467.2206999995, 4202414.681399999 2629137.7764999997, 4199212.2552000005 2616819.7974999994, 4188410.3029999994 2604678.5098, 4170592.415100001 2606414.9025, 4146841.8828999996 2593417.5044, 4106862.7985999994 2583561.7611, 4108954.1669999994 2608441.9614000004, 4090584.037900001 2598382.5710000005, 4079764.6887 2605253.0478000008, 4076094.6384999994 2617922.4931000005, 4084590.3587999996 2628332.5416, 4075355.5934999995 2636340.2106999997, 4075295.0209999997 2643018.6656, 4069548.5908000004 2650732.082800001, 4050888.773 2644010.056500001, 4051584.482999999 2653202.8627000004, 4082730.7678999994 2677464.1921999995, 4095928.0726999994 2695439.0349000003, 4089614.7380999997 2700541.7173999995, 4090009.1479 2707007.728700001, 4104716.988399999 2714128.7832999993), (4125815.6556 2699903.363399999, 4127350.2894 2699614.2980000004, 4126129.8762 2702865.5140000004, 4122858.4009000007 2703563.5408999994, 4125815.6556 2699903.363399999), (4087016.4858999997 2653698.710999999, 4095940.9218000006 2645264.1196999997, 4098190.576300001 2648033.2292, 4096552.964299999 2655973.0746, 4095661.2630000003 2656316.1258000005, 4092823.8720999993 2657190.8976000007, 4087016.4858999997 2653698.710999999), (4093613.8738 2639378.4394000005, 4087839.4477999993 2647463.4977, 4082695.399 2639296.5198, 4087956.6174999997 2634925.495100001, 4093613.8738 2639378.4394000005))",10130.254258871562,1918746.0,75.2,86.84254000000001,33.589999999999996,3028.06,6.469561028702606,189.40748681797987
CH03,2021,8373.594228528978,2,"MULTIPOLYGON (((4142867.4965000004 2719235.8000000007, 4148792.7694000006 2716636.1911999993, 4162515.182499999 2721450.2731999997, 4202525.681600001 2718363.0526, 4198618.477399999 2706865.728700001, 4200603.865700001 2682897.3605000004, 4200463.715500001 2670977.5923999995, 4190319.3556999993 2685671.3256, 4157239.2227999996 2682481.107999999, 4156280.5911 2685979.4967, 4170099.6153999995 2696112.8220000006, 4166845.5775000006 2706748.1163999997, 4165382.6954999994 2702151.7511, 4152167.5457000006 2694859.0285, 4143127.0634000003 2699138.1410000008, 4143090.851500001 2702237.069, 4147238.1818000004 2708256.9493000004, 4145378.3774999995 2710921.3691000007, 4137955.424900001 2703657.3279999997, 4130269.5649999995 2701877.2895, 4129422.2624999993 2705579.6568, 4134018.7751 2709027.9365, 4133383.940300001 2713039.7738000005, 4136938.8966000006 2719812.1586000007, 4139577.4244 2722539.9049999993, 4142867.4965000004 2719235.8000000007)), ((4126129.8762 2702865.5140000004, 4127350.2894 2699614.2980000004, 4125815.6556 2699903.363399999, 4122858.4009000007 2703563.5408999994, 4126129.8762 2702865.5140000004)))",1923.7996649989552,1181776.0,84.8,85.36115000000001,14.74,2933.22,7.085601864083362,614.2926529725962
CH03,2022,8163.45452214,2,"MULTIPOLYGON (((4142867.4965000004 2719235.8000000007, 4148792.7694000006 2716636.1911999993, 4162515.182499999 2721450.2731999997, 4202525.681600001 2718363.0526, 4198618.477399999 2706865.728700001, 4200603.865700001 2682897.3605000004, 4200463.715500001 2670977.5923999995, 4190319.3556999993 2685671.3256, 4157239.2227999996 2682481.107999999, 4156280.5911 2685979.4967, 4170099.6153999995 2696112.8220000006, 4166845.5775000006 2706748.1163999997, 4165382.6954999994 2702151.7511, 4152167.5457000006 2694859.0285, 4143127.0634000003 2699138.1410000008, 4143090.851500001 2702237.069, 4147238.1818000004 2708256.9493000004, 4145378.3774999995 2710921.3691000007, 4137955.424900001 2703657.3279999997, 4130269.5649999995 2701877.2895, 4129422.2624999993 2705579.6568, 4134018.7751 2709027.9365, 4133383.940300001 2713039.7738000005, 4136938.8966000006 2719812.1586000007, 4139577.4244 2722539.9049999993, 4142867.4965000004 2719235.8000000007)), ((4126129.8762 2702865.5140000004, 4127350.2894 2699614.2980000004, 4125815.6556 2699903.363399999, 4122858.4009000007 2703563.5408999994, 4126129.8762 2702865.5140000004)))",1923.7996649989552,1191939.0,85.9,86.47677,53.54,2448.19,6.848886161238117,619.5754275696099
CH03,2023,7884.561953025979,2,"MULTIPOLYGON (((4142867.4965000004 2719235.8000000007, 4148792.7694000006 2716636.1911999993, 4162515.182499999 2721450.2731999997, 4202525.681600001 2718363.0526, 4198618.477399999 2706865.728700001, 4200603.865700001 2682897.3605000004, 4200463.715500001 2670977.5923999995, 4190319.3556999993 2685671.3256, 4157239.2227999996 2682481.107999999, 4156280.5911 2685979.4967, 4170099.6153999995 2696112.8220000006, 4166845.5775000006 2706748.1163999997, 4165382.6954999994 2702151.7511, 4152167.5457000006 2694859.0285, 4143127.0634000003 2699138.1410000008, 4143090.851500001 2702237.069, 4147238.1818000004 2708256.9493000004, 4145378.3774999995 2710921.3691000007, 4137955.424900001 2703657.3279999997, 4130269.5649999995 2701877.2895, 4129422.2624999993 2705579.6568, 4134018.7751 2709027.9365, 4133383.940300001 2713039.7738000005, 4136938.8966000006 2719812.1586000007, 4139577.4244 2722539.9049999993, 4142867.4965000004 2719235.8000000007)), ((4126129.8762 2702865.5140000004, 4127350.2894 2699614.2980000004, 4125815.6556 2699903.363399999, 4122858.4009000007 2703563.5408999994, 4126129.8762 2702865.5140000004)))",1923.7996649989552,1202435.0,85.4,86.84519,67.24000000000001,2468.38,6.557162718172691,625.031297113077
CH04,2021,9349.528608096978,2,"POLYGON ((4221123.476 2731035.9192999993, 4230680.8694 2723941.929199999, 4241167.3868 2696373.285599999, 4242002.081700001 2687090.0534000006, 4230632.750499999 2679280.6511000004, 4221786.1741 2673104.0940000005, 4200603.865700001 2682897.3605000004, 4198618.477399999 2706865.728700001, 4202525.681600001 2718363.0526, 4216341.3256 2729173.4646000005, 4220591.664899999 2731159.9717999995, 4221123.476 2731035.9192999993))",1762.7014724881499,1553423.0,92.5,85.36086999999999,11.010000000000002,3001.6800000000003,6.018662404314201,881.2740127840582
CH04,2022,9161.603668746013,2,"POLYGON ((4221123.476 2731035.9192999993, 4230680.8694 2723941.929199999, 4241167.3868 2696373.285599999, 4242002.081700001 2687090.0534000006, 4230632.750499999 2679280.6511000004, 4221786.1741 2673104.0940000005, 4200603.865700001 2682897.3605000004, 4198618.477399999 2706865.728700001, 4202525.681600001 2718363.0526, 4216341.3256 2729173.4646000005, 4220591.664899999 2731159.9717999995, 4221123.476 2731035.9192999993))",1762.7014724881499,1564662.0,96.2,86.477,47.589999999999996,2518.91,5.8553244526587935,887.6500215271243
CH04,2023,9044.996625511998,2,"POLYGON ((4221123.476 2731035.9192999993, 4230680.8694 2723941.929199999, 4241167.3868 2696373.285599999, 4242002.081700001 2687090.0534000006, 4230632.750499999 2679280.6511000004, 4221786.1741 2673104.0940000005, 4200603.865700001 2682897.3605000004, 4198618.477399999 2706865.728700001, 4202525.681600001 2718363.0526, 4216341.3256 2729173.4646000005, 4220591.664899999 2731159.9717999995, 4221123.476 2731035.9192999993))",1762.7014724881499,1579967.0,95.8,86.84488,62.63,2534.16,5.7248009771799016,896.3327169459897
CH05,2021,10557.23541827896,2,"MULTIPOLYGON (((4233994.481000001 2732777.0853000004, 4236373.7475000005 2728832.454399999, 4259528.3868 2727259.0359000005, 4273199.067600001 2724032.5193000007, 4283009.073799999 2715444.941299999, 4287756.7698 2714352.1854, 4295362.803099999 2698921.9991999995, 4285464.4256 2684223.103700001, 4281155.7798 2659947.7641000003, 4291125.0428 2660883.3062999994, 4309306.0156 2655629.7525999993, 4314190.225500001 2646299.66, 4332066.8737 2637515.7503999993, 4351049.216600001 2652336.4122, 4356980.1711 2646951.0858999994, 4356848.7469999995 2638051.4913, 4351483.8396000005 2618636.4969999995, 4356968.3783 2609745.4715, 4355774.3639 2602036.5163000003, 4337730.835100001 2611951.5331999995, 4329190.4 2607595.3574, 4324957.5602 2594851.0001, 4330980.4879 2587472.9202999994, 4332997.7159 2573227.2904000003, 4328290.2059 2569723.6218, 4314220.015699999 2584091.7038000003, 4287571.4758 2577048.6536, 4277796.495200001 2596407.2719, 4268535.843699999 2598356.8479999993, 4264354.0407 2593609.1446, 4262968.432399999 2569255.1774000004, 4256006.521 2562205.0749999993, 4250256.092599999 2572591.4628, 4250438.6227 2591649.308, 4245201.8588 2607745.7709, 4219626.296800001 2608218.7887999993, 4220091.157500001 2620067.1601, 4235228.9672 2633945.9672, 4239817.135500001 2645773.4124, 4238776.2446 2657305.83, 4245478.6928 2673793.731899999, 4230632.750499999 2679280.6511000004, 4242002.081700001 2687090.0534000006, 4241167.3868 2696373.285599999, 4230680.8694 2723941.929199999, 4221123.476 2731035.9192999993, 4230514.930500001 2729845.2234000005, 4233994.481000001 2732777.0853000004)), ((4216341.3256 2729173.4646000005, 4208122.165899999 2727166.0584999993, 4202593.1677 2729327.7269, 4209278.492900001 2741411.866699999, 4217105.1602 2744025.8792000003, 4222677.995200001 2737378.7059000004, 4220591.664899999 2731159.9717999995, 4216341.3256 2729173.4646000005)))",11349.28304235672,1193069.0,73.5,85.36211999999999,2.65,4314.95,8.848805407129813,105.1228518618613
