"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
AT127,,,,,,,,,,,,,,,,38669.75,39008.68,39098.5,39919.9,40426.92,40604.94,40306.22,40864.950000000004,41307.93,41648.13,41189.58,41771.22,42238.37,42846.91,42728.950000000004,43136.14,43414.770000000004,43728.94,43956.96,43850.200000000004,43806.770000000004,44261.74,44637.22,45280.29,45751.94,45130.090000000004,45439.83,45452.83,45390.24,46999.42,47037.53,46846.37,46721.51
AT13,,,,,,,,,,,,,,,,53634.090000000004,53701.9,52948.950000000004,53586.41,54790.48,52217.450000000004,51989.9,52771.87,52750.51,52771.28,52852.520000000004,53185.130000000005,53666.130000000005,55063.71,54911.21,54644.08,54486.87,54441.79,54206.48,53915.56,53265.86,53696.65,53747.26,54157.12,54753.090000000004,54451.520000000004,54746.15,54247.840000000004,53913.94,54993.76,55040.97,54817.450000000004,54670.19
AT130,,,,,,,,,,,,,,,,53634.090000000004,53701.9,52948.950000000004,53586.41,54790.48,52217.450000000004,51989.9,52771.87,52750.51,52771.28,52852.520000000004,53185.130000000005,53666.130000000005,55063.71,54911.21,54644.08,54486.87,54441.79,54206.48,53915.56,53265.86,53696.65,53747.26,54157.12,54753.090000000004,54451.520000000004,54746.15,54247.840000000004,53913.94,54993.76,55040.97,54817.450000000004,54670.19
AT2,,,,,,,,,,,,,,,,42145.25,42273.33,42293.39,43478.74,44194.48,43141.13,42694.1,43006.51,43402.03,43760.78,43542.07,44092.88,44221.36,44682.68,44247.950000000004,44516.29,44579.14,44973.71,45025.520000000004,45172.26,45214.78,45239.090000000004,45581.56,46056.3,46748.6,46325.1,47025.79,46928.06,46954.950000000004,48591.9,48633.73,48436.51,48306.5
AT21,,,,,,,,,,,,,,,,42461.62,42169.88,41867.53,42796.01,43324.57,42992.51,42537.31,42794.71,43122.770000000004,43602.07,43429.82,44062.53,44462.66,45025.4,44740.24,45001.88,44815.4,45265.22,45601.3,45793.450000000004,45824.91,45688.13,45908.15,46396.9,47056.78,46799.46,47369.520000000004,47149.33,47241.54,48869.47,48912.66,48714.43,48582.99
AT211,,,,,,,,,,,,,,,,42461.48,42169.520000000004,41867.56,42797.200000000004,43324.73,40952.090000000004,40536.33,40797.75,41094.87,41616.950000000004,41477.31,42142.5,42615.13,43211.37,42927.88,43148.03,43013.520000000004,43617.16,43940.24,44075.950000000004,44210.78,44092.4,44367.69,44990.89,45639.73,45192.46,45753.94,45635.56,45872.82,47429.9,47474.18,47282.33,47154.16
AT212,,,,,,,,,,,,,,,,42458.89,42175.31,41868.700000000004,42795.17,43323.65,46043.93,45602.07,45854.17,46307.29,46709.090000000004,46401.53,47121.21,47552.5,48068.8,47756.28,48115.29,48039.9,48196.520000000004,48653.37,49133.840000000004,48939.700000000004,48830.81,49010,49381.19,50100.24,50191.33,50725,50330.92,50254.81,51968.200000000004,52008.66,51802.73,51659.93
AT213,,,,,,,,,,,,,,,,42466.61,42165.82,41866.4,42794.020000000004,43327.08,45479.66,44950.75,45258.13,45590.13,46051.28,45898.090000000004,46369.07,46623.25,47045.19,46841.78,47162.93,46767.07,47033.53,47302.37,47551.18,47370.16,47220.5,47370.44,47696.06,48228.200000000004,48262.55,48917.94,48518.450000000004,48492.62,50146.08,50186.48,49981.630000000005,49848.51
AT22,,,,,,,,,,,,,,,,42002.6,42319.74,42485.41,43786.82,44586.71,43198.65,42764.67,43101.87,43528.03,43831.61,43585.22,44097.04,44114.36,44530.98,44033.91,44302.37,44477.57,44851.13,44780.81,44909.520000000004,44958.04,45052.29,45438.31,45915.48,46623.66,46133.92,46877.47,46840.56,46831.29,48479.9,48521.18,48324.38,48194.94
AT221,,,,,,,,,,,,,,,,42001.55,42318.94,42484.58,43786.97,44587.090000000004,40090.01,39712.13,40035.01,40482.88,40871.73,40738.51,41335.770000000004,41489.53,41970.12,41510.36,41846.62,42142.6,42726.62,42674.11,42763.38,42982.97,43126.97,43555.37,44170.590000000004,44865,44262.82,45047.18,45039.950000000004,45184.8,46767.200000000004,46807.24,46617.770000000004,46493.75
