"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
HU332,,,,,,,,,,,,,,,,10793.880000000001,10429.81,10082.65,10003.12,9690.07,9799.84,10180.73,10938.16,11561.94,12419.49,13185.5,13161.42,13637.48,13612.25,12821.16,12727.94,13171.43,13087.83,12857.470000000001,12506.83,12429.39,12645.86,12920.66,13139.4,13715.09,13366.25,13652.17,14072.4,13993.960000000001,14720.03,15102.31,15626.89,15910.81
HU333,,,,,,,,,,,,,,,,10794.58,10429.11,10081.97,10002.37,9689.1,9965.59,10362.24,11131.01,11626.44,12467.2,13206.62,13156.18,13134.61,13500.54,12627.220000000001,12382.23,12681.95,12820.53,12604.25,12387.2,12251.56,12431.45,12732.73,12927.5,13472.970000000001,13171.6,13348.130000000001,13731.2,13662.81,14413.11,14785.94,15299.69,15575.970000000001
HUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,,36282.88,37637.14,39260.49,39604.63,39806.51,40245.15,40767.03,40746.41,41775.85,43793.47,44907.78,45345.3,47424.14,49667.91,52120.880000000005,52466.99,53612.51,53121.61,51788.82,52224.86,49030.57,50164.35,50805.630000000005,51766.770000000004,52080.21,54701.85,55677.21,52833.200000000004,54567.71,54411.46,55045.48,55687.98,56328.33
IE0,,,,,,,,,,,,,,,,36282.88,37637.14,39260.49,39604.63,39806.51,40245.01,40767.03,40746.41,41775.85,43793.41,44907.72,45345.49,47424.090000000004,49667.86,52120.82,52466.92,53610.46,53121.61,51788.82,52224.86,49030.57,50164.35,50803.99,51766.770000000004,52080.21,54701.85,55677.48,52833.200000000004,54567.71,54411.46,55045.48,55687.98,56328.33
IE04,,,,,,,,,,,,,,,,32559.95,33741.57,35212.85,35536.25,35678.32,38322.090000000004,38072.47,37690.35,37494.74,38418.950000000004,40908.020000000004,39691.450000000004,43688.33,45798.65,46643.37,44600.72,47253.14,46337.24,43946.44,44828.57,42812.86,43838.97,43135.07,45306.590000000004,45210.37,46900.91,48002.270000000004,45452.73,46357.71,46596.18,47138.93,47689.520000000004,48238.18
IE041,,,,,,,,,,,,,,,,32559.79,33741.64,35214.450000000004,35536.81,35680.26,37366.66,37503.08,37254.88,37044.28,38549.19,41175.48,39719.58,43966.5,45775.16,47333.57,45024.08,48328.72,47158.770000000004,44543.93,44660.79,42539.36,44590.28,43223.700000000004,46077.17,46196.96,47923.65,49302.73,46578.25,46897.590000000004,46595.22,47137.770000000004,47688.1,48235.22
IE042,,,,,,,,,,,,,,,,32560.09,33741.520000000004,35212.51,35535.78,35677.58,39170.08,38565.450000000004,38062.43,37891.05,38304.23,40678.42,39666.64,43466.1,45816.91,46104.5,44268.98,46450,45726.53,43481.1,44974.14,43069.840000000004,43166.78,43056.3,44674.92,44430.46,46148.12,47018.9,44606.05,45952.44,46596.91,47139.82,47690.590000000004,48239.96
IE05,,,,,,,,,,,,,,,,33659.53,34931.15,36430.25,36742.32,36948.04,40073.83,40546.090000000004,39958.81,41058.93,43123.75,43880.96,44433.64,46509.05,48049.73,50652.15,50069.47,50983.57,50346.26,48905.14,50057.96,46712.69,47314.63,47671.21,49150.28,49541.58,51875.14,53061.98,49676.19,51099.9,50510.950000000004,51099.380000000005,51695.98,52290.08
IE051,,,,,,,,,,,,,,,,33658.97,34931.47,36430.44,36744.17,36947.23,40405.96,40665.44,40400.36,41267.32,43495.200000000004,44022.22,44097.24,45962.54,47411.19,49898.950000000004,49254.840000000004,50802.82,50502.67,48420.950000000004,49036.83,46218.270000000004,47223.05,47987.66,49390.15,49733.97,51998.96,53624.29,50437.590000000004,50762.61,50127.93,50711.4,51302.8,51894.16
IE052,,,,,,,,,,,,,,,,33660.770000000004,34932.31,36429.88,36742.49,36948.63,40571.71,41619.89,40800.43,41644.36,43281.86,44332.41,44841.41,47670.06,49408.03,52369.56,51526.29,52412.96,51524.450000000004,50265.21,51760.31,47401.590000000004,48051.5,48059.12,49771.96,50212.03,52702.590000000004,53351.97,49645.79,52130,51137.520000000004,51733.22,52335.89,52936.58
IE053,,,,,,,,,,,,,,,,33659.17,34930.18,36430.340000000004,36741.39,36948.3,39566.91,39883.46,39188.19,40582.35,42773.44,43544.22,44454.3,46286.98,47793.46,50254.83,49796.11,50354.81,49642.35,48535.83,49844.98,46666.12,46968.79,47252.41,48662.56,49059.18,51357.91,52544.99,49215.68,50761.99,50427.54,51015.340000000004,51611.83,52204.75
IE06,,,,,,,,,,,,,,,,38911.89,40364.68,42105.61,42475.01,42691.3,40887.89,41671.15,42138.6,43530.42,45892.12,46787.24,47609.74,49071.590000000004,51744.75,54656.96,56265.9,57100.85,56836.23,55988.53,55760.43,52223.05,53713.73,54998.93,55116.64,55460.35,58544.43,59294.700000000004,56725.41,58897.82,58890.75,59577.04,60272.19,60965.380000000005
IE061,,,,,,,,,,,,,,,,38912.37,40364.5,42105.3,42474.94,42691.49,39446.91,40181.44,40599.71,41989.3,44280.46,45181.21,46009.3,47352.18,49880.47,52619.55,54398.61,55708.130000000005,55335.78,54306.68,54128.06,51053.25,52236.33,53506.76,53596.06,54061.07,57202.87,58039.03,55332.96,57287.11,57616.08,58288.04,58967.76,59646.3
IE062,,,,,,,,,,,,,,,,38910.66,40363.3,42105.57,42475.79,42689.65,44021.46,44806.04,45401.340000000004,47113.67,49548.74,50407.79,51055.48,52676.53,55934.69,59328.06,60513.39,60061.74,60053.66,60104.33,59198.47,54564.12,57102.130000000005,58313.42,58284.24,58459.92,60782.200000000004,61634.5,59377.76,62447.81,61667.15,62384.62,63113.99,63838.64
IE063,,,,,,,,,,,,,,,,38911.53,40367.14,42107.520000000004,42473.74,42693.770000000004,46239.03,47228.88,47339.450000000004,47596.18,50164,50805.74,51647.07,53346.840000000004,55910.24,59925.57,60822.05,60580.200000000004,60714.87,59514.630000000005,60633.5,55720.130000000005,57758,59007.08,59564.66,59193.99,63263.42,63046.270000000004,60691.86,62542.340000000004,61897.26,62618.17,63347.53,64075.36
IEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,,,,,,,,,,,,,,,,37117.17,40056.23,39388.19,43100.47,45523.48,47004.41,47197.54,48206.72,50310.200000000004,53136.1,53814.46,54529.380000000005,57446.62,52226.68,47147.57,47189.38,49425.05,49980.24,51437.89,51287.270000000004,51750.880000000005,53778.15,55642.05,58128.630000000005,57349.97,56263.53,57324.72,57120.54,58429.12,57678,58063,58247.04,58370.04
IS0,,,,,,,,,,,,,,,,37117.17,40056.23,39388.19,43100.47,45523.48,47004.41,47197.54,48206.72,50310.200000000004,53136.1,53814.46,54529.380000000005,57446.62,52226.68,47147.57,47189.38,49425.05,49980.24,51437.89,51287.270000000004,51750.880000000005,53778.15,55642.05,58128.630000000005,57349.97,56263.53,57324.72,57120.54,58429.12,57678,58063,58247.04,58370.04
IS00,,,,,,,,,,,,,,,,37117.17,40056.23,39388.19,43100.47,45523.48,47004.41,47197.54,48206.72,50310.200000000004,53136.1,53814.46,54529.380000000005,57446.62,52226.68,47147.57,47189.38,49425.05,49980.24,51437.89,51287.270000000004,51750.880000000005,53778.15,55642.05,58128.630000000005,57349.97,56263.53,57324.72,57120.54,58429.12,57678,58063,58247.04,58370.04
IS001,,,,,,,,,,,,,,,,37120.5,40058.78,39389.200000000004,43101.98,45520.21,47004,47195.87,48208.85,50310.04,53134.5,53814.73,54528.53,57447.36,52228.69,47149.89,47191.44,49425.74,49981.020000000004,51437.31,51289.68,51748.24,53780.340000000004,55643.19,58128.090000000004,57349.590000000004,56262.16,57324.99,57118.950000000004,58429.47,57678.19,58064.8,58245.81,58371.12
IS002,,,,,,,,,,,,,,,,37113.8,40052.020000000004,39386.520000000004,43097.950000000004,45528.91,47005.08,47200.31,48205.13,50310.450000000004,53136.880000000005,53814.01,54530.78,57445.37,52223.28,47143.61,47185.82,49423.83,49978.87,51438.92,51284.65,51755.62,53774.23,55641.520000000004,58129.58,57350.65,56265.98,57324.24,57123.36,58429.840000000004,57677.66,58059.82,58247.93,58369.41
ISZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,,39560.43,40291.38,41011.32,39540.48,39768.94,39914.66,39931.090000000004,39492.62,39316.88,39628.3,39820.12,39818.99,39722.6,39871.9,39373.31,40053.36,39781.18,38612.37,38499.22,38250.590000000004,38354.48,37989.82,37911.67,38118.42,38209.71,36102.48,38065.23,38165.05,36890,37413.25,37748.840000000004,38105.340000000004,38280.05
ITC,,,,,,,,,,,,,,,,43124.18,43573.48,44278.93,42860.01,43267.81,43071.62,43226.07,42822.200000000004,42497.38,42779.23,42931.5,42663.090000000004,42416.51,42646.83,42016.18,43061,42984.78,41769.51,41758.75,41710.48,41867.97,41542.74,41523.16,41805.65,41654.03,39635.520000000004,42147.39,42342.92,40949.62,41458.07,41829.89,42224.83,42418.44
ITC1,,,,,,,,,,,,,,,,42424.96,42841.340000000004,43674.19,42272.53,42484.76,41547.13,41438.26,40964.11,40367.97,41104.840000000004,41046.24,41037.96,40815.8,40672.55,39142.49,40632.29,40409.98,38979.17,38912.19,38920.450000000004,39412.19,39105.22,39091.29,39401.64,39305.4,36999.93,39557.48,39441.76,38253.99,38601.32,38947.520000000004,39315.31,39495.72
ITC11,,,,,,,,,,,,,,,,42424.81,42841.35,43674.32,42272.46,42485.17,40744.48,40664.26,40165.46,39514.99,40035.46,40177.47,40158.83,40012.22,39714.270000000004,37868.14,39427.37,39621.21,38268.770000000004,38207.9,38220.4,38673.76,38367.450000000004,38405.15,38705.6,38736.840000000004,36485.04,38977.62,38904.48,37756.32,38099.05,38440.73,38803.88,38981.43
ITC12,,,,,,,,,,,,,,,,42422.450000000004,42843.55,43678.23,42269.22,42482.28,39844.23,40293.56,39386,38399.65,38929.31,38420.04,39899.13,39227.12,38783.74,37904.16,39830.88,40112.12,38617.98,38452.79,38457.590000000004,38673.04,38798.06,39007.72,38992.41,38768.06,36483.56,39135.66,39085.71,37860.950000000004,38202.64,38546.090000000004,38909.93,39090.91
ITC13,,,,,,,,,,,,,,,,42421.36,42839.96,43674.590000000004,42283.35,42483.8,41588.01,41093.36,39904.42,38899.64,39098.700000000004,39470.92,39742.12,39690.090000000004,41854.24,40429.12,41742.75,41104.56,39413.99,39644.97,39646.83,39943.14,39551.86,39166.04,39141.8,38924.770000000004,36720.31,39418.25,39464.63,38164.15,38511.07,38859.81,39233.29,39416.46
ITC14,,,,,,,,,,,,,,,,42425.42,42846.38,43673.78,42274.48,42485.57,42425.29,41637.36,40789.590000000004,40314.16,41173.21,40270.090000000004,40308.03,39577.83,39971.11,38907.24,41400.93,41257.4,40121.9,40074.590000000004,39969.63,40672.99,40566.99,40120.37,40272.520000000004,40349.770000000004,38245.74,40870.5,40456.67,39456.020000000004,39814.4,40170.63,40554.07,40742.55
ITC15,,,,,,,,,,,,,,,,42427.91,42841.07,43676.44,42271.13,42485.57,40227.19,40495.04,39963.49,39220.46,39786.8,40085.49,40582.89,40271.62,40033.51,38907.1,40341.840000000004,39515.81,38459.33,38365.06,38125,38667.28,38318.43,38203.66,38541.05,38287.78,36023.28,38436.5,38356.32,37397.56,37737.5,38077.590000000004,38437.03,38612.69
ITC16,,,,,,,,,,,,,,,,42427.18,42841.270000000004,43673.270000000004,42271.950000000004,42485.07,45027.58,44222.36,44416.090000000004,44482.01,46460.03,45766.85,45063.56,44908.63,44422.97,42689.21,43958.840000000004,42826.83,41079.37,40928.770000000004,41038.82,41700.16,41098.450000000004,41059.94,41608.47,41324.71,38632.06,41421.37,41176.5,39749.04,40108.9,40468.22,40849.21,41037.770000000004
ITC17,,,,,,,,,,,,,,,,42427.17,42838.66,43671.1,42271.06,42484.3,46952.57,46704.63,45609.76,44604.13,45232.51,44750.46,44178.76,43701.72,43594.13,41466.43,42875.44,43811.74,41733.450000000004,41420.24,41623.47,42427.82,42265.12,42196.840000000004,42523.56,42216.64,39890.65,42664.93,42358.840000000004,41118.24,41494.88,41864.35,42254.28,42448.91
ITC18,,,,,,,,,,,,,,,,42422.66,42840.58,43673.16,42270.28,42483.42,41135.94,41418.62,41118.73,40583.33,41447.43,40880.75,40746.01,40433.48,40725.11,40724.51,41665.36,40234.16,38725.43,38805.78,38780.74,39246.23,39135.85,39213.48,39520.13,39177.36,36966.96,39503.94,39371.29,38150.5,38497.05,38841.96,39207.520000000004,39386.78
ITC2,,,,,,,,,,,,,,,,42335.13,43010.07,43339.520000000004,41365.83,39886.62,40058.19,40643.33,40744.68,40509.72,41374.72,42234.48,41905.83,41268.62,42254,41037.61,41221.24,41195.07,39740,39306.12,38398.17,38995.37,39104.65,39304.74,39224.22,39280.270000000004,36766.74,37956.520000000004,37745.61,37044.97,37985.11,38322.43,38683.6,38859.41
ITC20,,,,,,,,,,,,,,,,42335.13,43010.07,43339.520000000004,41365.83,39886.62,40058.19,40643.33,40744.68,40509.72,41374.72,42234.48,41905.83,41268.62,42254,41037.61,41221.24,41195.07,39740,39306.12,38398.17,38995.37,39104.65,39304.74,39224.22,39280.270000000004,36766.74,37956.520000000004,37745.61,37044.97,37985.11,38322.43,38683.6,38859.41
ITC3,,,,,,,,,,,,,,,,40632.79,40794.12,41739.14,40247.76,40026.270000000004,39898.54,40118.82,39726.54,40126.07,40613.78,40306.55,40187.96,40459.58,40825.73,40386.39,40248.950000000004,39575.41,38464.81,38736.24,38473.340000000004,38394.92,37696.74,38382.590000000004,38439.44,38250.700000000004,36748.96,38897.21,39102.5,37628.9,38409.98,38754.62,39120.22,39299.49
ITC31,,,,,,,,,,,,,,,,40637.37,40790.11,41738.590000000004,40252.08,40026.5,44387.58,43627.86,42826.69,43496.96,43837.450000000004,41425,42377.98,45378.38,47389.11,43211.46,42349.590000000004,44404.76,43331.99,43841,43443.51,43098.33,42402.44,43232,43230.46,42746.53,40759.520000000004,42964.07,43360.24,41773.950000000004,42643.55,43028.200000000004,43429.96,43626.72
ITC32,,,,,,,,,,,,,,,,40633.86,40795.11,41738.46,40246.19,40024.78,41887.98,42825.79,42859.46,43668.49,45052.19,44694.590000000004,45163.24,45164.16,44863.58,45219.48,44173.8,43089.950000000004,41540.58,41837.8,42431.35,41930.94,41505.62,41802.67,41653.39,41300.92,39776.55,41811.91,42084.32,40414.73,41252.4,41622.51,42016.9,42207.58
ITC33,,,,,,,,,,,,,,,,40632.75,40794.3,41739.97,40248.43,40026.94,38998.89,39170.61,38788.38,39016.68,39470.99,39234.590000000004,39152.39,38824.15,38984.54,39232.17,39441.63,38126.68,37176.53,37413.82,36967.92,37057.590000000004,36275.72,36983.92,37082.74,36955.99,35584.89,37721.4,37924.41,36460.05,37216.61,37551.16,37905.71,38079.9
ITC34,,,,,,,,,,,,,,,,40629.39,40793.700000000004,41736.93,40245.200000000004,40026.64,38306.5,38509.520000000004,37861.07,38138.15,37945.05,38842.99,36979.23,37688.92,39029.6,37704.92,37802.63,38281.16,36990.14,37272.86,37163.56,37001.43,36484.89,37226.950000000004,37335.23,37287.54,35536.23,37789.33,37876.69,36619.11,37380.19,37711.91,38068.840000000004,38244.44
ITC4,,,,,,,,,,,,,,,,43804.75,44312.98,44928.83,43518.18,44129.98,44222.48,44443.14,44042.17,43691.450000000004,43732.9,44020.43,43634.15,43315.28,43670.75,43355.87,44401.23,44488.48,43341.24,43312.91,43270.94,43313.32,43008.88,42885.82,43167.3,42993.840000000004,41007.44,43558.33,43872.91,42396.64,42923.68,43308.68,43717.61,43918.04
ITC41,,,,,,,,,,,,,,,,43805.520000000004,44313.26,44929.520000000004,43518.24,44130.520000000004,44820.37,44404.73,44624.81,44940.48,45707.22,44950.94,45011.37,43906.14,43837.76,44134.8,46117.99,44966.17,43849.89,43678.950000000004,43614.89,43644.18,43518.87,43505.66,43620.39,43511.450000000004,41404.64,44072.38,44655.97,43235.86,43773.43,44165.74,44583.91,44789.05
ITC42,,,,,,,,,,,,,,,,43803.5,44313.68,44929.13,43518.28,44129.83,43167.85,43724.82,43183.020000000004,42852.88,42997.82,43516.49,42921.88,42744.93,42503.17,43098.22,45438.56,45784.01,44514.08,44557.42,44606.66,44697.08,44787.6,44595.91,44956.08,44731.35,42532.39,45302.08,45588.43,44092.41,44641.79,45041.06,45464.98,45673.41
ITC43,,,,,,,,,,,,,,,,43805.82,44311.35,44930.81,43516.96,44129.67,46067.66,45307.47,45276.88,45268.87,45807.8,46310.840000000004,44866.54,44534.25,46123.18,46424.54,46913.22,46767.42,45450.25,45189.71,45369.72,45531.57,45418.44,45190.340000000004,45131.15,44777.25,42822.05,45268.5,45385.61,44012.82,44560.24,44961.68,45385.71,45594.67
ITC44,,,,,,,,,,,,,,,,43803.82,44313.46,44930.94,43517.41,44127.590000000004,43819.05,44223.64,43785.96,43284.35,43812.700000000004,43634.65,42274.22,42603.950000000004,43056.16,43407.64,45359.35,46037.520000000004,44727.42,45121.62,45060.71,45213.56,45211.6,45406.9,45998.25,46054.58,43770.200000000004,46483.93,46638.89,45055.270000000004,45615.05,46026.89,46461.54,46672.21
ITC46,,,,,,,,,,,,,,,,43804.54,44312.54,44929.520000000004,43517.79,44127.82,44252.54,44835.340000000004,44395.5,44002.86,44098.98,44468.47,44936.76,43559.26,43317.25,44081.53,44820.15,44796.020000000004,43350.12,43246.78,43355.200000000004,43468.06,43335.61,43222.43,43448.65,43190.72,41244.19,43798.46,44036.29,42507.04,43035.08,43421.58,43831.85,44033.23
ITC47,,,,,,,,,,,,,,,,43804.94,44313.12,44928.01,43517.93,44130.38,44870.340000000004,46236.44,45732.71,45466.9,45545.99,44429.9,43690.770000000004,43557.21,44267.66,43812.65,44916.63,45683.69,44487.85,44442.020000000004,44613.94,44648.41,44377.55,44116.42,44190.37,43775.72,41848.65,44392.700000000004,44653.44,43152.78,43690.62,44083.13,44498.9,44702.73
ITC48,,,,,,,,,,,,,,,,43804.76,44313.71,44929.590000000004,43519.54,44129.58,50050.72,51052.36,50681.880000000005,50467.75,50713.880000000005,49106.29,48753.67,48877.54,49862.69,47907.950000000004,47312.18,48511.85,47029.020000000004,46637.71,46708.8,46880.770000000004,47030.53,46355.26,46588.11,46205.99,44037.49,46755.12,46781.1,45211.450000000004,45770.63,46181.12,46617.33,46830.8
ITC49,,,,,,,,,,,,,,,,43804.99,44317.91,44926.42,43519.37,44132.19,45964.29,46584.37,46222.020000000004,46143.88,45923.76,47861.950000000004,50496.67,47095.85,44560.700000000004,46668.79,48232.03,45256.58,43932.58,43396.07,43622.92,43964.1,43880.47,44096.99,44267.770000000004,44044.05,42046.74,44532.57,44935.28,43289.06,43824.340000000004,44205.81,44621.9,44824.68
ITC4A,,,,,,,,,,,,,,,,43804.16,44313.96,44926.64,43516.57,44131.08,50304.44,48259.48,47522.12,47144.25,47443.56,47581.49,47113.83,47430.700000000004,47647.17,46065.700000000004,47598.21,46936.62,45553.43,45004.01,44879.31,44901.8,44530.79,44318.4,44496.28,44001.83,41857.93,44459.53,44771.15,43178.42,43713.29,44104.840000000004,44523.47,44729.16
ITC4B,,,,,,,,,,,,,,,,43805.1,44311.98,44928.24,43519.81,44128.840000000004,46466.9,46678.17,46019.21,45332.520000000004,45344.69,45078.26,43873.38,43635.89,44516.62,44380.200000000004,45806.03,46143.3,45284.73,45027.840000000004,44979.73,44943.21,44615.73,44120.090000000004,44573.36,44282.16,42071.33,44775.16,44982.47,43400.28,43939.19,44334.6,44752.39,44957.15
ITC4C,,,,,,,,,,,,,,,,43804.67,44312.87,44928.68,43518.19,44130.12,42225.3,42247.97,41827.96,41349.66,41207.12,42125.57,41670.58,41645.37,42175.32,41545.56,42437.01,42564.32,41555.11,41718.33,41558.71,41538.87,41099.54,41080.86,41511.25,41493.200000000004,39591.83,42056.76,42423.01,41042.25,41552.5,41925.270000000004,42321.18,42515.14
ITC4D,,,,,,,,,,,,,,,,43805.58,44312.32,44929.43,43518.86,44131.64,45204.950000000004,45410.26,44922.85,44442.94,44167.08,45307.69,44696.13,44841.57,45676.950000000004,44808.3,45853.75,46195.28,45096.25,44846.22,44983.090000000004,45320,44991.97,44745.11,44870.07,44547.76,42430.92,45174.49,45404.81,43742.450000000004,44285.92,44683.05,45105.18,45311.55
ITF,,,,,,,,,,,,,,,,32946.42,34336.3,35250.54,33981.08,34163.14,34577.15,34604.96,34030.770000000004,33897.340000000004,34307.42,34953.68,35155.39,35380.78,35252.57,34986.04,35493.020000000004,35031.85,33740.99,33570.41,33124.11,33067.21,32681.350000000002,32439.510000000002,32640.58,33006.41,30607.13,31843.57,31963.84,30817.59,31379.14,31660.7,31959.72,32106.29
ITF1,,,,,,,,,,,,,,,,35636.12,36622.07,37037.54,35761.74,35776.57,35957.53,36348.53,35563.71,35710.06,36471.340000000004,36714.13,37090.340000000004,37387.25,37333.33,37259.33,37447.46,37581.03,35888.38,35349.38,35443.8,35454.950000000004,34668.3,34756.68,34934.04,34993.94,32655.530000000002,33964.33,33973.9,32779.03,33777.4,34080.55,34402.36,34560.15
ITF11,,,,,,,,,,,,,,,,35637.51,36619,37036.82,35762.69,35775.42,33937.99,34785.17,33606.88,33409.2,34730.520000000004,34998.79,35387.71,37620.28,36756.73,35757.92,36276.96,36631.08,35136.89,34712.090000000004,35098.3,35130.81,34394.16,34400.96,34548.85,34725.21,32200.24,33593.6,33734.1,32517.63,33506.76,33808.45,34130.51,34283.8
ITF12,,,,,,,,,,,,,,,,35634.090000000004,36623.89,37035.04,35761.51,35777.38,35365.41,35229,34582.12,34856.19,35652.87,35912.71,36746.38,36454.340000000004,36582.32,37844.11,39046.78,37773.86,36004.590000000004,35677.38,35553.99,35746.51,34782.07,34807.99,35101.22,34953.33,32624.440000000002,33929.03,33790.67,32642.79,33640.67,33944.03,34264.55,34421.57
ITF13,,,,,,,,,,,,,,,,35639.26,36621.39,37037.81,35759.49,35777.51,38204.88,39586.49,39754.57,40878.08,43039.4,40442.090000000004,40755.31,41301.61,41846.99,41785.18,38568.840000000004,39119.47,37088.41,36808.950000000004,36922.51,36924.3,36006.06,36510.9,36306.53,36249.42,33898.33,35112,35163.88,33860.840000000004,34891.21,35202.99,35535.24,35698.12
ITF14,,,,,,,,,,,,,,,,35634.22,36622.4,37039.71,35763.91,35776.05,36293.020000000004,36158.75,34889.6,34475.63,33879.81,35940.590000000004,36039.86,35151.33,35182.270000000004,34690.96,36247.090000000004,37015.5,35485.94,34523.6,34544.08,34413.82,33817.39,33744.090000000004,34086.63,34315.88,32120.68,33424.590000000004,33430.05,32282.49,33264.43,33562.24,33878.07,34035.1
ITF2,,,,,,,,,,,,,,,,36613.66,37378.14,38786.840000000004,37339.590000000004,37917.07,36734.99,37172.41,36399,36946.78,37453.42,37469.99,38618.75,38202.92,37841.46,37489.47,38217.16,37260.81,35572.63,35304.16,34599.13,34749.64,34450.07,33517.71,33769.85,33652.35,31737.7,33070.18,32695.31,31473.010000000002,32108.010000000002,32398.54,32702.530000000002,32852.51
ITF21,,,,,,,,,,,,,,,,36603.97,37380.090000000004,38776.48,37347.74,37917.08,35990.74,36821.92,36401.79,36960.700000000004,37396.55,38685.19,39282.41,37153.85,37206.28,37227.05,38230.39,37122.55,35710.66,35286.46,34424.08,34698.92,34882.98,33772.73,33171.57,33118.23,31427.14,32684.73,32391.3,31184.83,31818.18,32110.65,32405.18,32549.47
ITF22,,,,,,,,,,,,,,,,36617.41,37377.4,38790.67,37336.340000000004,37918.99,37027.270000000004,37308.51,36397.91,36941.28,37476.44,37008.82,38373.29,38588.04,38078.73,37589.51,38212.18,37313.43,35520.23,35310.89,34668,34768.17,34294.46,33423.51,33994.43,33852.4,31853.66,33215.61,32807.49,31580.25,32215.83,32505.62,32814.87,32963.53
ITF3,,,,,,,,,,,,,,,,32432.36,33569.1,34444.06,33174.01,33560.12,34595.93,34676.94,33799.53,33239.04,33692.1,34740.81,35152.71,35605.19,35543.450000000004,35413.06,35803.76,35001.83,33776.64,33717.73,32955.29,32944.12,32553.47,32417.920000000002,32585.09,32946.15,30268.09,31609.33,31966.760000000002,30814.45,31017.63,31295.86,31591.43,31736.32
ITF31,,,,,,,,,,,,,,,,32431.940000000002,33568.65,34445.15,33174.090000000004,33559.44,35123.99,35576.48,34286.16,33494.47,33780.75,35672.93,36096.46,36253.91,35676.42,36149.43,36533.450000000004,35126.89,33735.03,33664.23,32779.98,32735.600000000002,32528.37,32402.56,32704.940000000002,33197.54,30322.170000000002,31592.47,31858.5,30790.18,30993.95,31270.84,31565.45,31710.29
ITF32,,,,,,,,,,,,,,,,32431.39,33568.81,34445.83,33173.31,33561.35,38861.74,41009.950000000004,38682.32,36690.83,36340.3,36769.58,37412.75,37982.17,38476.71,38845.14,39951.42,38548.66,37016.81,37080.76,36923.21,36657.89,36247.83,35637.14,35838.44,36374.14,33837.93,35182.89,35357.96,34099.68,34324.92,34635.25,34963.63,35127.06
ITF33,,,,,,,,,,,,,,,,32432.31,33569.12,34443.92,33173.63,33560.270000000004,32890.28,33196.13,32590.82,32257.65,32764.98,33721.74,33967.31,34655.56,34570.63,34137.340000000004,34807.95,33736.32,32706.190000000002,32609.9,31854.74,31885.87,31530.96,31447.06,31651.04,32038.3,29425.72,30823.16,31277.52,30095.02,30293.100000000002,30564.93,30853.68,30995.33
ITF34,,,,,,,,,,,,,,,,32432.7,33570.99,34442.9,33174.95,33561.4,35540.83,36164.96,35360.56,34655.44,35265.950000000004,36866.6,37435.92,36974.19,36762.6,36850.91,37563.520000000004,37255.69,35991.450000000004,35810.13,35142.090000000004,34853.91,34393.91,34241.55,34238.33,34486.57,32093.24,33507.55,33622.31,32321.29,32534.08,32826.270000000004,33136.270000000004,33286.29
ITF35,,,,,,,,,,,,,,,,32433.33,33569.13,34444.4,33174.43,33559.770000000004,37734.04,36189.51,35100.97,34429.81,35053.56,35666.79,36387.03,36678.22,37090.25,37232.05,36467.700000000004,36814.200000000004,35195.86,35207.450000000004,34448.19,34485.62,33910.79,33740.56,33752.76,33946.520000000004,31106.56,32274.02,32575.010000000002,31559.77,31768.36,32052.920000000002,32355.75,32503.71
ITF4,,,,,,,,,,,,,,,,32250.64,33994.56,35177.270000000004,33872.05,33646.18,33751.47,34118.22,34023.81,34569.49,35049.23,35235.82,34983.32,34903.53,34527.35,34129.15,35186.61,35075.700000000004,33839.86,33626.47,33214.1,33054.13,32646.86,32137.030000000002,32415.170000000002,32921.31,30584.23,31737.18,31784.81,30608.940000000002,31543.7,31826.64,32127.34,32274.56
ITF43,,,,,,,,,,,,,,,,32250.690000000002,33994.56,35177.92,33871.72,33647.88,31688.48,32106.02,32421.84,33057.06,33483.38,33298.11,32280,31977.88,31577.45,31763.62,32542.68,32932.270000000004,31501.350000000002,31203.34,30973.74,31016.84,30923.08,30413.100000000002,30525.82,31122.2,28993.13,30156.170000000002,30466.89,29406.37,30303.690000000002,30575.47,30864.47,31006.71
